yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
23.0,12.0,0.021328261,0.84574294,0.05218157,0.028009506,0.05220097,2.2371833,3
23.0,13.0,0.03224318,0.8545674,0.05915242,0.03561989,0.017637383,2.2682292,14
23.0,14.0,0.035761107,0.8202511,0.05457834,0.033507895,0.055160593,2.228246,7
23.0,15.0,0.02485643,0.8412901,0.04277588,0.029860025,0.060603224,2.3088348,5
23.0,16.0,0.027781472,0.7111246,0.037204377,0.023892803,0.03271269,2.4470806,6
23.0,17.0,0.03277816,0.84982777,0.060633212,0.0349933,0.020966098,2.2491663,4
23.0,18.0,0.0407832,0.8415442,0.06260692,0.03467788,0.01946881,2.2677453,6
23.0,19.0,0.02977188,0.8495757,0.060882133,0.034044717,0.02502664,2.2284923,3
23.0,20.0,0.0,0.8514425,0.0,0.0,0.14855751,2.5543275,2
23.0,21.0,0.031556062,0.8395273,0.0527325,0.02816977,0.047334038,2.2856598,4
23.0,22.0,0.035494078,0.8078992,0.043577056,0.03162014,0.080378324,2.272762,3
23.0,23.0,0.018900435,0.8545257,0.049140193,0.030168258,0.046759456,2.2612264,2
24.0,1.0,0.26553416,0.5383713,0.065862045,0.05736017,0.07124502,2.841281,27
24.0,2.0,0.06389556,0.78356224,0.049678814,0.035395484,0.066589706,2.344005,21
24.0,3.0,0.04563771,0.79156435,0.047993567,0.033083014,0.08082923,2.2591658,13
24.0,4.0,0.03351332,0.81431806,0.044779215,0.031986788,0.0747125,2.2681627,30
24.0,5.0,0.03799334,0.8237563,0.06015416,0.035844784,0.041403353,2.2086096,28
24.0,6.0,0.04305525,0.80580926,0.05801663,0.035271272,0.056919497,2.2066772,18
24.0,7.0,0.031779483,0.81459236,0.046894122,0.0314016,0.07466671,2.2437754,17
24.0,8.0,0.03597229,0.82405,0.05871462,0.034168474,0.046232384,2.2102804,19
24.0,9.0,0.035342053,0.813003,0.040759537,0.028026102,0.08212852,2.3168182,11
24.0,10.0,0.020754017,0.8030024,0.03146602,0.018392775,0.1258615,2.2789752,30
24.0,11.0,0.053513557,0.8156438,0.059758626,0.034730285,0.035269473,2.2994351,7
24.0,12.0,0.032980256,0.82145274,0.048508413,0.028726846,0.06753664,2.2696183,8
24.0,13.0,0.03230295,0.83938354,0.063046224,0.037594307,0.02681997,2.1898158,7
24.0,14.0,0.036312178,0.8375599,0.07346927,0.03932948,0.0123801455,2.1341465,5
24.0,15.0,0.023065668,0.8357189,0.043636106,0.038919535,0.058065344,2.2462058,5
24.0,16.0,0.017244488,0.8304506,0.042248543,0.033884715,0.07563894,2.2144248,6
24.0,17.0,0.02927104,0.83654726,0.061299663,0.036567137,0.035557885,2.1755126,5
24.0,18.0,0.037065066,0.8360251,0.06703445,0.039008904,0.019938046,2.1807914,4
24.0,19.0,0.03735965,0.84541583,0.06804481,0.038216192,0.010079846,2.2065768,2
24.0,20.0,0.02405338,0.83426476,0.049936563,0.02987651,0.061266746,2.231855,6
24.0,21.0,0.025912834,0.8362539,0.053843837,0.036735885,0.04658668,2.2029204,2
